Zeit,Anzahl_Eheschliessungen_je_1000_Einwohner
1950,11.0
1951,10.4
1952,9.5
1953,8.9
1954,8.7
1955,8.8
1956,8.9
1957,8.9
1958,9.1
1959,9.2
1960,9.5
1961,9.5
1962,9.4
1963,8.8
1964,8.5
1965,8.2
1966,8.0
1967,7.9
1968,7.3
1969,7.4
1970,7.4
1971,7.2
1972,7.0
1973,6.7
1974,6.5
1975,6.7
1976,6.5
1977,6.5
1978,6.0
1979,6.2
1980,6.3
1981,6.2
1982,6.2
1983,6.3
1984,6.4
1985,6.4
1986,6.6
1987,6.7
1988,6.8
1989,6.7
1990,6.5
1991,5.7
1992,5.6
1993,5.5
1994,5.4
1995,5.3
1996,5.2
1997,5.2
1998,5.1
1999,5.2
2000,5.1
2001,4.7
2002,4.8
2003,4.6
2004,4.8
2005,4.7
2006,4.5
2007,4.5
2008,4.6
2009,4.6
2010,4.7
2011,4.7
2012,4.8
2013,4.6
2014,4.8
2015,4.9
2016,5.0
2017,4.9
2018,5.4
2019,5.0
